,Generation,Index
1586,53,1590
1587,53,1632
1588,53,1686
1589,53,1592
1590,54,1689
1591,54,1574
1592,54,1712
1593,54,1749
1594,54,1576
1595,54,1578
1596,54,1721
1597,54,1577
1598,54,1578
1599,54,1579
1600,54,1722
1601,54,1623
1602,54,1710
1603,54,1576
1604,54,1623
1605,54,1583
1606,54,1578
1607,54,1585
1608,54,1256
1609,54,1702
1610,54,1751
1611,54,1587
1612,54,1588
1613,54,1419
1614,54,1578
1615,54,1738
1616,54,1590
1617,54,1632
1618,54,1686
1619,54,1592
1620,55,1689
1621,55,1574
1622,55,1712
1623,55,1749
1624,55,1576
1625,55,1578
1626,55,1721
1627,55,1712
1628,55,1578
1629,55,1579
1630,55,1722
1631,55,1623
1632,55,1710
1633,55,1576
1634,55,1623
1635,55,1778
1636,55,1578
1637,55,1585
1638,55,1256
1639,55,1702
1640,55,1578
1641,55,1587
1642,55,1588
1643,55,1784
1644,55,1578
1645,55,1738
1646,55,1590
1647,55,1710
1648,55,1686
1649,55,1592
1650,56,1576
1651,56,1574
1652,56,1576
1653,56,1808
1654,56,1576
1655,56,1578
1656,56,1721
1657,56,1712
1658,56,1578
1659,56,1579
1660,56,1722
1661,56,1623
1662,56,1710
1663,56,1576
1664,56,1623
1665,56,1778
1666,56,1578
1667,56,1806
1668,56,1256
1669,56,1702
1670,56,1578
1671,56,1799
1672,56,1588
1673,56,1712
1674,56,1578
1675,56,1738
1676,56,1590
1677,56,1710
1678,56,1686
1679,56,1592
1680,57,1576
1681,57,1574
1682,57,1576
1683,57,1808
1684,57,1576
1685,57,1578
1686,57,1721
1687,57,1828
1688,57,1578
1689,57,1579
1690,57,1722
1691,57,1623
1692,57,1710
1693,57,1576
1694,57,1623
1695,57,1778
1696,57,1578
1697,57,1806
1698,57,1256
1699,57,1702
1700,57,1578
1701,57,1799
1702,57,1588
1703,57,1578
1704,57,1578
1705,57,1738
1706,57,1590
1707,57,1710
1708,57,1686
1709,57,1592
1710,58,1576
1711,58,1574
1712,58,1576
1713,58,1808
1714,58,1576
1715,58,1578
1716,58,1721
1717,58,1867
1718,58,1578
1719,58,1875
1720,58,1722
1721,58,1623
1722,58,1710
1723,58,1576
1724,58,1623
1725,58,1778
1726,58,1578
1727,58,1806
1728,58,1256
1729,58,1702
1730,58,1578
1731,58,1799
1732,58,1588
1733,58,1859
1734,58,1578
1735,58,1738
1736,58,1590
1737,58,1710
1738,58,1686
1739,58,1592
1740,59,1576
1741,59,1574
1742,59,1576
1743,59,1808
1744,59,1576
1745,59,1578
1746,59,1721
1747,59,1867
1748,59,1578
1749,59,1576
1750,59,1722
1751,59,1623
1752,59,1710
1753,59,1576
1754,59,1623
1755,59,1778
1756,59,1578
1757,59,1806
1758,59,1256
1759,59,1702
1760,59,1578
1761,59,1799
1762,59,1588
1763,59,1859
1764,59,1578
1765,59,1738
1766,59,1590
1767,59,1710
1768,59,1686
1769,59,1592
1770,60,1576
1771,60,1574
1772,60,1576
1773,60,1808
1774,60,1576
1775,60,1928
1776,60,1721
1777,60,1867
1778,60,1931
1779,60,1813
1780,60,1722
1781,60,1623
1782,60,1710
1783,60,1576
1784,60,1623
1785,60,1778
1786,60,1808
1787,60,1806
1788,60,1256
1789,60,1702
1790,60,1935
1791,60,1799
1792,60,1911
1793,60,1859
1794,60,1940
1795,60,1738
1796,60,1590
1797,60,1710
1798,60,1686
1799,60,1592
1800,61,1945
1801,61,1574
1802,61,1961
1803,61,1808
1804,61,1975
1805,61,1928
1806,61,1721
1807,61,1867
1808,61,1931
1809,61,1813
1810,61,1722
1811,61,1623
1812,61,1710
1813,61,1985
1814,61,1623
1815,61,1778
1816,61,1808
1817,61,1806
1818,61,1256
1819,61,1702
1820,61,1935
1821,61,1799
1822,61,1911
1823,61,1859
1824,61,1944
1825,61,1738
1826,61,1590
1827,61,1710
1828,61,1686
1829,61,1592
1830,62,1945
1831,62,2026
1832,62,1961
1833,62,1808
1834,62,1975
1835,62,1928
1836,62,1721
1837,62,1867
1838,62,1931
1839,62,1813
1840,62,2023
1841,62,1623
1842,62,1710
1843,62,1998
1844,62,1623
1845,62,1778
1846,62,1808
1847,62,1806
1848,62,1256
1849,62,1702
1850,62,1935
1851,62,1799
1852,62,1911
1853,62,1859
1854,62,1944
1855,62,1738
1856,62,1590
1857,62,1710
1858,62,1686
1859,62,1592
1860,63,1945
1861,63,2032
1862,63,1961
1863,63,1808
1864,63,1975
1865,63,1928
1866,63,2063
1867,63,1867
1868,63,1931
1869,63,1813
1870,63,2023
1871,63,1623
1872,63,1710
1873,63,1998
1874,63,1623
1875,63,1778
1876,63,1808
1877,63,1867
1878,63,1256
1879,63,1702
1880,63,1935
1881,63,2027
1882,63,1911
1883,63,1859
1884,63,1944
1885,63,1738
1886,63,2066
1887,63,1710
1888,63,1686
1889,63,1592
1890,64,1945
1891,64,2032
1892,64,1961
1893,64,1808
1894,64,1975
1895,64,2100
1896,64,2063
1897,64,1867
1898,64,1931
1899,64,1813
1900,64,2023
1901,64,2034
1902,64,1710
1903,64,1998
1904,64,2077
1905,64,1778
1906,64,1808
1907,64,1867
1908,64,2077
1909,64,2081
1910,64,1935
1911,64,2027
1912,64,1911
1913,64,1859
1914,64,1944
1915,64,1738
1916,64,2068
1917,64,1710
1918,64,2089
1919,64,2088
1920,65,1945
1921,65,2119
1922,65,1961
1923,65,1808
1924,65,1975
1925,65,2118
1926,65,2063
1927,65,2118
1928,65,1931
1929,65,1813
1930,65,2023
1931,65,2134
1932,65,1710
1933,65,2141
1934,65,2077
1935,65,1778
1936,65,1808
1937,65,1975
1938,65,2077
1939,65,2120
1940,65,1935
1941,65,2027
1942,65,1911
1943,65,1859
1944,65,1808
1945,65,1738
1946,65,2068
1947,65,1710
1948,65,2089
1949,65,2088
1950,66,1945
1951,66,2119
1952,66,1961
1953,66,1808
1954,66,1975
1955,66,2118
1956,66,2063
1957,66,2118
1958,66,1931
1959,66,1813
1960,66,2023
1961,66,2134
1962,66,1710
1963,66,2150
1964,66,2077
1965,66,1778
1966,66,2174
1967,66,1975
1968,66,2077
1969,66,2057
1970,66,2181
1971,66,2027
1972,66,1911
1973,66,1859
1974,66,2150
1975,66,1738
1976,66,2068
1977,66,1710
1978,66,2089
1979,66,2088
1980,67,1945
1981,67,2119
1982,67,1961
1983,67,1808
1984,67,1975
1985,67,2118
1986,67,2063
1987,67,2118
1988,67,1931
1989,67,1813
