,0,1,2,3,4,5,6,7,8,9,10
79,0.0,-0.0,-2.635016140846858,-8.77,-0.0,-2.4441330638926084,0.0,0.0,-0.0,-0.0,9.436662359761925
80,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-5.533577160548013
81,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,-1.396290120809292,0.0,2.977393614393728,-0.0,0.0
82,0.0,-9.34278275833779,9.758150839437288,0.2604912451551513,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
83,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,0.0,-0.06304814589743302,-0.0,-0.0,0.0
84,0.0,-0.0,9.758150839437288,-8.77,-0.0,-9.759069250473546,0.0,0.0,-0.0,-0.0,0.0
85,0.0,-1.033997055944413,-2.635016140846858,-8.77,-0.0,7.014105030745359,0.0,0.0,-0.0,-0.0,0.0
86,0.0,-9.34278275833779,-9.760301489530459,-8.77,-2.0965623275420047,-0.0,0.0,0.0,-0.0,-0.0,0.0
87,0.0,-0.0,-2.635016140846858,-8.77,-0.0,-0.0,0.0,0.0,-2.1369635239855196,-0.0,0.0
88,0.0,-9.34278275833779,-2.635016140846858,-8.77,-0.0,-0.0,-5.614752708395505,0.9846032655927743,-0.0,-0.0,0.0
89,0.0,-9.34278275833779,-2.635016140846858,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.17325909818174878
